make,model,mileage,price,price_label,registration,fuel,country,power_hp,country_name,page
audi,a3,234163,690,toolow-price ,06-2003,d,d,105,germany,1
audi,a3,76000,16980,good-price,12-2014,b,d,179,germany,1
audi,a3,174549,9950,top-price,04-2015,d,d,110,germany,1
audi,a3,91700,13950,top-price,12-2013,b,d,179,germany,1
audi,a3,36216,22950,top-price,12-2022,b,d,150,germany,1
audi,a3,86100,15990,top-price,02-2017,b,d,150,germany,1
audi,a3,210000,6980,good-price,04-2015,b,d,125,germany,1
audi,a3,37816,22990,top-price,10-2021,b,d,150,germany,1
audi,a3,18900,34900,unknown,12-2024,b,d,150,germany,1
audi,a3,14712,23630,good-price,11-2022,2,d,150,germany,1
audi,a3,117900,6990,fair-price,03-2010,b,d,160,germany,1
audi,a3,189245,3990,somewhat-expensive,12-2004,b,d,102,germany,1
audi,a3,60566,24990,fair-price,11-2022,b,d,110,germany,1
audi,a3,80000,19750,top-price,12-2022,2,d,204,germany,1
audi,a3,193060,16950,top-price,11-2020,d,d,150,germany,1
audi,a3,74412,16990,top-price,07-2018,b,d,116,germany,1
audi,a3,43288,21950,top-price,12-2022,b,d,150,germany,1
audi,a3,27488,13890,fair-price,03-2011,b,d,105,germany,1
audi,a3,50000,22260,good-price,07-2021,b,d,110,germany,1
audi,a3,76000,16980,good-price,12-2014,b,d,179,germany,2
audi,a3,74872,13990,fair-price,10-2015,d,d,110,germany,2
audi,a3,65442,19890,top-price,11-2020,b,d,150,germany,2
audi,a3,28750,21880,top-price,08-2022,2,d,204,germany,2
audi,a3,124998,15490,fair-price,12-2013,b,d,179,germany,2
audi,a3,18487,24980,top-price,01-2025,b,d,116,germany,2
audi,a3,64000,19990,top-price,02-2020,b,d,150,germany,2
audi,a3,5300,26995,top-price,11-2022,b,d,204,germany,2
audi,a3,135000,19690,fair-price,10-2022,2,d,150,germany,2
audi,a3,103500,16190,top-price,02-2017,b,d,150,germany,2
audi,a3,79800,21500,good-price,01-2018,b,d,190,germany,2
audi,a3,131000,15470,fair-price,07-2017,b,d,150,germany,2
audi,a3,101400,13980,good-price,05-2017,b,d,116,germany,2
audi,a3,65856,24680,top-price,04-2023,d,d,150,germany,2
audi,a3,67616,18450,top-price,04-2023,b,d,110,germany,2
audi,a3,135000,8990,top-price,02-2013,b,d,125,germany,2
audi,a3,73690,14990,fair-price,12-2018,b,d,116,germany,2
audi,a3,91000,20530,top-price,09-2022,2,d,150,germany,2
audi,a3,107850,22990,somewhat-expensive,04-2022,d,d,116,germany,2
audi,a3,40780,20890,fair-price,05-2017,b,d,150,germany,2
audi,a3,174549,9950,top-price,04-2015,d,d,110,germany,3
audi,a3,69750,20449,top-price,05-2021,b,d,150,germany,3
audi,a3,11858,23900,top-price,03-2023,b,d,110,germany,3
audi,a3,76503,23990,top-price,08-2023,b,d,150,germany,3
audi,a3,84781,21440,fair-price,04-2020,b,d,150,germany,3
audi,a3,50000,20440,top-price,08-2019,b,d,150,germany,3
audi,a3,87290,20999,good-price,06-2020,d,d,150,germany,3
audi,a3,67447,19680,good-price,08-2019,d,d,116,germany,3
audi,a3,19352,24950,fair-price,08-2022,b,d,110,germany,3
audi,a3,60000,25499,top-price,08-2022,d,d,150,germany,3
audi,a3,1,25840,unknown,new,b,d,150,germany,3
audi,a3,54152,25490,good-price,10-2022,2,d,150,germany,3
audi,a3,17319,22570,top-price,08-2023,b,d,110,germany,3
audi,a3,31721,14910,top-price,05-2017,b,d,116,germany,3
audi,a3,75025,23550,good-price,04-2021,d,d,150,germany,3
audi,a3,95604,20900,good-price,12-2020,b,d,150,germany,3
audi,a3,43831,23820,top-price,02-2023,2,d,204,germany,3
audi,a3,95500,18980,fair-price,05-2023,b,d,110,germany,3
audi,a3,152900,11590,fair-price,08-2015,b,d,125,germany,3
audi,a3,91000,15990,good-price,08-2014,2,d,150,germany,3
audi,a3,91700,13950,top-price,12-2013,b,d,179,germany,4
audi,a3,25148,31680,top-price,06-2023,2,d,245,germany,4
audi,a3,64791,20990,good-price,10-2020,b,d,150,germany,4
audi,a3,55190,29480,top-price,04-2022,d,d,200,germany,4
audi,a3,64377,25290,fair-price,07-2022,d,d,116,germany,4
audi,a3,57701,23990,good-price,08-2022,d,d,150,germany,4
audi,a3,100787,17200,top-price,01-2022,b,d,110,germany,4
audi,a3,63250,22990,fair-price,01-2021,b,d,110,germany,4
audi,a3,15,36990,unknown,04-2025,b,d,150,germany,4
audi,a3,52000,19900,fair-price,07-2018,b,d,150,germany,4
audi,a3,76053,13490,fair-price,04-2013,b,d,160,germany,4
audi,a3,6780,26740,top-price,03-2024,b,d,110,germany,4
audi,a3,112496,15990,good-price,05-2019,b,d,116,germany,4
audi,a3,63885,25950,fair-price,03-2018,b,d,190,germany,4
audi,a3,106523,15900,good-price,07-2017,2,d,204,germany,4
audi,a3,17348,22415,good-price,03-2018,b,d,150,germany,4
audi,a3,41172,22970,top-price,03-2022,d,d,116,germany,4
audi,a3,96000,23900,fair-price,08-2022,d,d,150,germany,4
audi,a3,37099,22990,top-price,05-2023,b,d,150,germany,4
audi,a3,74466,23280,top-price,04-2024,d,d,116,germany,4
audi,a3,36216,22950,top-price,12-2022,b,d,150,germany,5
audi,a3,42200,21224,top-price,07-2020,2,d,150,germany,5
audi,a3,111000,23890,fair-price,02-2023,d,d,116,germany,5
audi,a3,24598,23640,top-price,08-2022,2,d,204,germany,5
audi,a3,48279,23880,fair-price,12-2020,b,d,150,germany,5
audi,a3,120209,17990,good-price,04-2017,d,d,150,germany,5
audi,a3,74261,21830,top-price,11-2022,2,d,150,germany,5
audi,a3,46000,22999,good-price,11-2020,b,d,150,germany,5
audi,a3,29560,22780,top-price,12-2022,2,d,150,germany,5
audi,a3,98088,21990,somewhat-expensive,04-2019,b,d,150,germany,5
audi,a3,49150,25979,fair-price,12-2022,2,d,204,germany,5
audi,a3,76491,20890,fair-price,11-2016,b,d,150,germany,5
audi,a3,117182,24890,fair-price,06-2023,d,d,150,germany,5
audi,a3,35400,23799,fair-price,12-2022,2,d,204,germany,5
audi,a3,12702,26990,top-price,08-2024,b,d,116,germany,5
audi,a3,67531,22250,top-price,01-2024,b,d,110,germany,5
audi,a3,62150,24890,good-price,07-2021,2,d,150,germany,5
audi,a3,98460,16980,good-price,01-2018,b,d,150,germany,5
audi,a3,36230,24980,fair-price,09-2022,2,d,204,germany,5
audi,a3,95181,22940,top-price,10-2022,d,d,150,germany,5
audi,a3,86100,15990,top-price,02-2017,b,d,150,germany,6
audi,a3,76400,17490,good-price,10-2016,b,d,150,germany,6
audi,a3,53000,24888,good-price,07-2022,d,d,150,germany,6
audi,a3,79900,24970,fair-price,08-2021,2,d,204,germany,6
audi,a3,18461,36680,top-price,05-2024,b,d,150,germany,6
audi,a3,122900,19190,unknown,04-2021,b,d,110,germany,6
audi,a3,90893,23990,top-price,03-2023,d,d,150,germany,6
audi,a3,127129,16790,top-price,07-2017,d,d,150,germany,6
audi,a3,296800,1990,unknown,06-2006,b,d,102,germany,6
audi,a3,33446,24970,fair-price,05-2023,b,d,110,germany,6
audi,a3,46272,23850,fair-price,11-2022,2,d,204,germany,6
audi,a3,80000,17880,top-price,03-2019,b,d,150,germany,6
audi,a3,84588,23880,top-price,05-2023,d,d,150,germany,6
audi,a3,84798,24700,somewhat-expensive,10-2022,b,d,150,germany,6
audi,a3,34999,28200,good-price,12-2023,b,d,150,germany,6
audi,a3,27900,23490,unknown,05-2023,b,d,150,germany,6
audi,a3,115169,14690,top-price,08-2014,b,d,150,germany,6
audi,a3,95789,26990,good-price,02-2022,d,d,150,germany,6
audi,a3,126174,19480,good-price,08-2022,d,d,150,germany,6
audi,a3,109388,16480,top-price,08-2018,2,d,204,germany,6
audi,a3,210000,6980,good-price,04-2015,b,d,125,germany,7
